Temperatura,tau_ed,tau_ed_stderr
-32.4,114.55677538027618,0.7361806788885354
-32.2,110.40412823973219,0.7714243320064968
-31.9,111.83310937336113,0.6586259742702274
-31.4,100.11273358600228,0.6704734446656965
-30.1,102.49195704086766,0.6535342685050829
-28.9,99.05170325930895,0.6884801697218353
-28.0,88.91033981661761,0.7138927348961969
-26.7,94.78734998117935,0.6930081927394328
-25.1,92.41832726098032,0.6865960086181682
-23.2,92.4220961795525,0.6528785974639664
-21.8,91.25179392451506,0.6405782183569851
-20.2,95.8822286352885,0.6361549246542395
-19.4,80.66773084559107,0.6941075523753508
-17.4,87.02291707530395,0.665560169351605
-16.5,89.55871841724195,0.6566972587894069
-15.3,88.03123265096119,0.6500865417242803
-14.4,77.5794364164975,0.6855778281807491
-13.2,84.91992282139333,0.7125067761407615
-11.6,91.64481879322524,0.6293009233132676
-10.5,87.59285552080205,0.6525819330550273
-9.5,84.16815607742491,0.66639497201725
-8.5,84.1687794412896,0.6295300342893987
-7.2,83.72291880084985,0.632150331240279
-6.2,92.81824221097358,0.6114190478889039
-5.3,86.43887408038654,0.702721300004651
-4.6,96.18129186323057,0.6989191026711626
-4.1,102.17893803165423,0.7681015873796698
-3.0,107.63730835242534,0.833239152219296
-2.3,114.52127450032921,0.9007454344524553
-1.6,120.57354120864515,0.9391921839351045
-0.9,117.88028147206721,1.0241155407786044
-0.1,127.64852076307686,1.0073154474014931
0.6,132.85452485108402,0.9718196341242631
1.4,131.09704648551934,1.0034824838704541
1.8,136.5247085162257,1.016695737364255
2.4,143.6939406361426,0.8941876826543996
3.2,135.71841488680332,0.9274754682896791
3.7,138.58525503908362,0.9626099713931092
4.1,138.8929570415562,0.8854552924358482
4.6,137.7833300349135,0.9596817358504918
5.4,136.56381676233332,0.9382510579348554
6.0,143.39478590627775,0.8924389009337598
6.7,141.17053631042998,0.8788978749354873
7.3,144.77626004400653,0.9424367140104546
7.6,142.711587122559,0.9038828336427418
8.3,138.71302027552778,0.9047339118750384
8.7,141.42222556116255,0.8683911057824626
9.1,144.1284864616931,0.9144416067716035
9.5,142.68277716443401,0.9029530908055372
10.1,139.40405200006677,0.9010428010016449
10.5,139.28317794815314,0.9228347252471412
11.0,140.0906907378695,0.8808826333434131
11.4,143.76534470121447,0.8431752110083316
11.7,143.57695730573792,0.8647945339985352
12.1,137.44851791365465,0.9336437446715139
12.6,140.97922501952493,0.8785783608368123
12.9,142.49456905407703,0.840482970831247
13.1,137.72122006210083,0.8853941176372119
13.7,138.45043635743556,0.9162684395252889
13.9,135.43453077882322,0.9463388781290577
14.2,145.02128895807806,0.879957634245335
14.4,139.40418384763987,0.9096517888273243
14.7,142.42931144203524,0.909786699213992
15.1,135.54623429634933,0.9532273697580702
15.3,136.3620757472232,0.917754038829468
15.6,142.6522596642684,0.8360891627120396
15.8,137.13713689075385,0.9277466668685288
16.2,136.8680697449573,0.9300968053419414
16.4,143.84197299036597,0.8574246061227958
16.7,136.02694653318207,0.9363026877786544
16.8,141.65253420439197,0.9056721419888266
17.0,140.9168840407477,0.8654768180101565
17.3,142.57154824274085,0.8750484177395124
17.5,136.6375842294808,0.9288088761084445
17.7,141.10165568593925,0.8890056316733124
17.9,137.49415393665996,0.9149971973068033
18.1,139.31732065585723,0.90878365501048
18.2,138.881387876192,0.8626828128776829
18.4,137.47781840266342,0.9085038043134743
18.6,135.2745894156761,0.9705520755103322
18.7,130.55402727436706,0.9738389819677361
18.9,136.5956829155253,0.8945440971870736
19.1,134.09963742468787,0.9307306224785408
19.2,136.57931441074132,0.9167394486243418
19.3,136.02306665802067,0.953631663252332
19.5,135.57033116567112,0.8936327895701703
19.6,133.7589246362495,0.9239945232959841
19.8,133.43877987456435,0.9274996267130492
19.9,135.09034933807595,0.8802261400098405
20.0,137.56950792426474,0.8933873456557189
20.4,84.08705733779176,0.44503499702734445
